checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,previous_ended_rental_id_category,delay_status,delay_slices
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,-81.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
connect,ended,70.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,-203.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
connect,ended,-15.0,563782.0,570.0,rented_before,in advance,Delay <= 10 mins
mobile,ended,-44.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
connect,ended,23.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,214.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours
mobile,ended,15.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
connect,ended,-81.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,-156.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,66.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours
mobile,ended,215.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours
mobile,ended,58.0,545639.0,420.0,rented_before,delayed,30 mins < Delay <= 1 hour
connect,ended,-159.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,-16.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 15 mins
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,-720.0,537298.0,0.0,rented_before,in advance,In advance < 30 mins
mobile,ended,1452.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours
mobile,ended,-29.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 15 mins
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,-251.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,35.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,-345.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,-26.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 15 mins
mobile,ended,-720.0,510607.0,60.0,rented_before,in advance,In advance < 30 mins
mobile,ended,22.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins
mobile,ended,-15.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
connect,ended,52.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour
mobile,ended,-2.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
connect,ended,-1.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
connect,ended,-76.0,557404.0,330.0,rented_before,in advance,In advance < 30 mins
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,15.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
