checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_status,delay_slices
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,-81.0,no_rented_before,,in advance,In advance < 30 mins
connect,ended,70.0,no_rented_before,,delayed,Delay <= 2 hours
connect,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,-203.0,no_rented_before,,in advance,In advance < 30 mins
connect,ended,-15.0,rented_before,570.0,in advance,Delay <= 10 mins
mobile,ended,-44.0,no_rented_before,,in advance,In advance < 30 mins
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
connect,ended,23.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
connect,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,214.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,ended,15.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
connect,ended,-81.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,-156.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,66.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,215.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,ended,58.0,rented_before,420.0,delayed,Delay <= 1 hour
connect,ended,-159.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,-16.0,no_rented_before,,in advance,In advance < 15 mins
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,,rented_before,0.0,in time,Delay > 4 hours
mobile,ended,1452.0,no_rented_before,,delayed,Delay > 4 hours
mobile,ended,-29.0,no_rented_before,,in advance,In advance < 15 mins
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,-251.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,35.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,-345.0,no_rented_before,,in advance,In advance < 30 mins
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,-26.0,no_rented_before,,in advance,In advance < 15 mins
mobile,ended,,rented_before,60.0,in time,Delay > 4 hours
mobile,ended,22.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
mobile,ended,-15.0,no_rented_before,,in advance,Delay <= 10 mins
connect,ended,52.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,ended,-2.0,no_rented_before,,in advance,Delay <= 10 mins
connect,ended,-1.0,no_rented_before,,in advance,Delay <= 10 mins
connect,ended,-76.0,rented_before,330.0,in advance,In advance < 30 mins
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,15.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,-68.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,-340.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,130.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,ended,29.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
mobile,ended,-4.0,no_rented_before,,in advance,Delay <= 10 mins
mobile,ended,-160.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,-30.0,no_rented_before,,in advance,In advance < 15 mins
mobile,ended,-47.0,no_rented_before,,in advance,In advance < 30 mins
connect,ended,-63.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,-148.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,44.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,ended,-98.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,-33.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,-340.0,no_rented_before,,in advance,In advance < 30 mins
connect,ended,-167.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,31.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
connect,ended,-6.0,rented_before,630.0,in advance,Delay <= 10 mins
mobile,ended,79.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,30.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,33.0,no_rented_before,,delayed,Delay <= 1 hour
