checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,previous_ended_rental_id_category,delay_status,delay_slices,time_delta,time_delta_cat,financial_cost
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,-81.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,ended,70.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-203.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,ended,-15.0,563782.0,570.0,rented_before,in advance,Delay <= 10 mins,585.0,no lack of time between two rentals,0.0
mobile,ended,-44.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
connect,ended,23.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,214.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours,,no lack of time between two rentals,0.0
mobile,ended,15.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
connect,ended,-81.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-156.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,66.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,215.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours,,no lack of time between two rentals,0.0
mobile,ended,58.0,545639.0,420.0,rented_before,delayed,30 mins < Delay <= 1 hour,362.0,no lack of time between two rentals,0.0
connect,ended,-159.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-16.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,-720.0,537298.0,0.0,rented_before,in advance,In advance > 30 mins,720.0,no lack of time between two rentals,0.0
mobile,ended,1452.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours,,no lack of time between two rentals,0.0
mobile,ended,-29.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,-251.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,35.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-345.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,-26.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-720.0,510607.0,60.0,rented_before,in advance,In advance > 30 mins,780.0,no lack of time between two rentals,0.0
mobile,ended,22.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-15.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
connect,ended,52.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
mobile,ended,-2.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
connect,ended,-1.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
connect,ended,-76.0,557404.0,330.0,rented_before,in advance,In advance > 30 mins,406.0,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,15.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-68.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-340.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,130.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours,,no lack of time between two rentals,0.0
mobile,ended,29.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-4.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins,,no lack of time between two rentals,0.0
mobile,ended,-160.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-30.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-47.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,ended,-63.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-148.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,44.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
mobile,ended,-98.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-33.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,-340.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
connect,ended,-167.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,31.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
connect,ended,-6.0,556563.0,630.0,rented_before,in advance,Delay <= 10 mins,636.0,no lack of time between two rentals,0.0
mobile,ended,79.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours,,no lack of time between two rentals,0.0
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance > 30 mins,,no lack of time between two rentals,0.0
mobile,ended,30.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins,,no lack of time between two rentals,0.0
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay,,no lack of time between two rentals,
mobile,ended,33.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour,,no lack of time between two rentals,0.0
