model_key,mileage,engine_power,fuel,paint_color,car_type,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,winter_tires,rental_price_per_day,model_key_clean,fuel_clean,paint_color_clean
Citroën,140411,100,diesel,black,convertible,True,True,False,False,True,True,True,106,Citroën,diesel,black
Citroën,183297,120,diesel,white,convertible,False,False,False,False,True,False,True,101,Citroën,diesel,white
Citroën,128035,135,diesel,red,convertible,True,True,False,False,True,True,True,158,Citroën,diesel,red
Citroën,97097,160,diesel,silver,convertible,True,True,False,False,False,True,True,183,Citroën,diesel,silver
Citroën,152352,225,petrol,black,convertible,True,True,False,False,True,True,True,131,Citroën,petrol,black
Citroën,205219,145,diesel,grey,convertible,True,True,False,False,True,True,True,111,Citroën,diesel,grey
Citroën,115560,105,petrol,white,convertible,True,True,False,False,False,True,True,78,Citroën,petrol,white
Peugeot,123886,125,petrol,black,convertible,True,False,False,False,False,True,True,79,Peugeot,petrol,black
Citroën,139541,135,diesel,white,convertible,False,False,False,False,True,False,True,132,Citroën,diesel,white
Citroën,77115,135,diesel,blue,convertible,True,True,False,False,True,False,True,139,Citroën,diesel,blue
Citroën,228000,145,diesel,black,convertible,True,True,False,False,True,False,True,115,Citroën,diesel,black
Citroën,132025,135,diesel,blue,convertible,True,True,False,False,True,True,True,147,Citroën,diesel,blue
Citroën,77061,135,diesel,black,convertible,True,True,False,False,True,True,True,191,Citroën,diesel,black
Peugeot,174631,120,diesel,black,convertible,True,True,False,False,False,False,True,102,Peugeot,diesel,black
Peugeot,208945,130,diesel,grey,convertible,True,True,False,False,True,False,True,91,Peugeot,diesel,grey
Peugeot,21167,135,petrol,white,convertible,False,False,True,False,False,False,False,148,Peugeot,petrol,white
Peugeot,24521,270,petrol,grey,convertible,True,False,False,False,False,False,True,96,Peugeot,petrol,grey
Citroën,205474,145,diesel,grey,convertible,True,True,False,False,True,True,True,105,Citroën,diesel,grey
Peugeot,128940,110,petrol,black,convertible,True,False,False,False,False,False,True,88,Peugeot,petrol,black
Peugeot,126213,225,petrol,white,convertible,False,False,False,False,False,True,True,130,Peugeot,petrol,white
Peugeot,24868,100,petrol,grey,convertible,False,True,False,False,False,False,True,176,Peugeot,petrol,grey
Citroën,90401,135,diesel,grey,convertible,True,True,False,False,True,True,True,162,Citroën,diesel,grey
Peugeot,46963,140,diesel,orange,convertible,False,True,False,False,False,True,True,153,Peugeot,diesel,others
Peugeot,43662,180,petrol,orange,convertible,True,False,False,False,True,False,True,144,Peugeot,petrol,others
Peugeot,196092,85,petrol,blue,convertible,True,False,False,False,False,False,False,42,Peugeot,petrol,blue
Peugeot,113678,190,diesel,black,convertible,True,True,False,False,True,True,True,173,Peugeot,diesel,black
Citroën,65988,135,diesel,grey,convertible,True,True,False,False,True,True,True,169,Citroën,diesel,grey
Peugeot,123809,125,petrol,black,convertible,True,False,False,False,False,True,True,81,Peugeot,petrol,black
Citroën,181252,120,diesel,black,convertible,True,True,False,False,True,False,True,105,Citroën,diesel,black
Citroën,195114,105,diesel,red,convertible,True,True,False,False,False,True,True,99,Citroën,diesel,red
Peugeot,82761,110,petrol,grey,convertible,True,False,False,False,False,True,True,97,Peugeot,petrol,grey
Peugeot,25050,100,petrol,grey,convertible,False,True,False,False,False,False,True,176,Peugeot,petrol,grey
Citroën,64832,135,diesel,grey,convertible,True,True,False,False,True,True,True,166,Citroën,diesel,grey
Peugeot,240788,120,diesel,grey,convertible,True,False,False,False,False,False,True,74,Peugeot,diesel,grey
Peugeot,124516,125,petrol,black,convertible,True,False,False,False,False,True,True,79,Peugeot,petrol,black
Peugeot,187294,105,petrol,red,convertible,True,False,False,False,False,True,True,49,Peugeot,petrol,red
Peugeot,24452,270,petrol,grey,convertible,True,False,False,False,False,False,True,82,Peugeot,petrol,grey
Peugeot,17267,110,diesel,white,convertible,True,True,False,False,True,False,True,156,Peugeot,diesel,white
Citroën,194192,120,diesel,beige,convertible,True,True,False,False,True,False,True,109,Citroën,diesel,beige
Citroën,36696,120,diesel,black,convertible,True,True,False,False,True,False,True,185,Citroën,diesel,black
Peugeot,270907,236,petrol,black,convertible,True,False,False,False,False,True,True,110,Peugeot,petrol,black
PGO,142483,180,diesel,blue,convertible,True,True,False,False,True,False,True,126,PGO,diesel,blue
Peugeot,223269,120,diesel,blue,convertible,True,True,False,False,False,False,True,89,Peugeot,diesel,blue
Peugeot,158805,130,diesel,black,convertible,True,False,False,False,True,True,True,95,Peugeot,diesel,black
Peugeot,13131,110,diesel,grey,convertible,False,True,False,False,True,False,True,156,Peugeot,diesel,grey
Peugeot,187104,105,petrol,red,convertible,True,False,False,False,False,True,True,51,Peugeot,petrol,red
Citroën,20996,135,petrol,black,coupe,True,False,False,False,True,False,True,146,Citroën,petrol,black
Citroën,50222,135,diesel,grey,coupe,False,False,False,False,False,False,False,162,Citroën,diesel,grey
Citroën,147180,100,diesel,black,coupe,True,False,True,False,False,False,True,92,Citroën,diesel,black
Peugeot,51618,105,diesel,grey,coupe,False,True,False,False,True,False,True,131,Peugeot,diesel,grey
Citroën,104433,120,diesel,silver,coupe,True,False,False,False,True,False,True,87,Citroën,diesel,silver
Citroën,77334,135,diesel,grey,coupe,False,False,False,False,True,False,True,154,Citroën,diesel,grey
Citroën,55329,135,diesel,black,coupe,False,False,False,False,False,False,False,163,Citroën,diesel,black
Citroën,14041,140,diesel,blue,coupe,True,True,False,False,True,True,True,166,Citroën,diesel,blue
Renault,78638,160,diesel,black,coupe,False,True,False,False,False,True,True,135,Renault,diesel,black
Renault,34082,240,petrol,grey,coupe,False,True,True,False,True,True,True,174,Renault,petrol,grey
Renault,265751,85,petrol,silver,coupe,False,False,False,False,False,False,False,32,Renault,petrol,silver
Citroën,181644,135,diesel,blue,coupe,True,True,False,False,True,False,True,138,Citroën,diesel,blue
Renault,26062,225,petrol,blue,coupe,True,True,False,True,True,True,True,175,Renault,petrol,blue
Citroën,56250,160,diesel,blue,coupe,False,False,False,False,False,False,False,169,Citroën,diesel,blue
Renault,45536,250,petrol,white,coupe,True,True,True,False,True,True,True,197,Renault,petrol,white
Renault,69695,230,diesel,blue,coupe,True,True,False,False,True,True,True,191,Renault,diesel,blue
Citroën,61300,135,diesel,black,coupe,True,True,False,False,True,False,True,166,Citroën,diesel,black
Renault,197407,230,diesel,blue,coupe,True,True,True,False,True,True,True,179,Renault,diesel,blue
Citroën,93066,135,diesel,black,coupe,False,False,False,True,True,False,True,109,Citroën,diesel,black
Peugeot,29925,309,petrol,silver,coupe,True,True,False,False,True,True,True,217,Peugeot,petrol,silver
Citroën,199614,120,diesel,black,coupe,True,True,True,False,True,True,True,127,Citroën,diesel,black
Peugeot,27786,140,diesel,white,coupe,False,True,False,False,False,True,True,162,Peugeot,diesel,white
Citroën,80165,135,diesel,white,coupe,False,False,False,False,False,False,False,140,Citroën,diesel,white
Peugeot,170550,309,petrol,grey,coupe,True,True,False,False,True,False,True,167,Peugeot,petrol,grey
Citroën,42077,135,diesel,black,coupe,False,False,False,False,True,True,True,150,Citroën,diesel,black
Renault,92527,230,diesel,blue,coupe,True,True,True,False,False,False,True,179,Renault,diesel,blue
Peugeot,23949,100,diesel,blue,coupe,False,True,False,False,True,False,True,162,Peugeot,diesel,blue
Citroën,175311,130,diesel,black,coupe,True,False,False,True,True,False,True,93,Citroën,diesel,black
Renault,97806,230,diesel,black,coupe,True,True,False,True,True,True,True,177,Renault,diesel,black
Renault,141346,230,diesel,blue,coupe,True,True,True,False,True,True,True,200,Renault,diesel,blue
Peugeot,220101,130,diesel,black,coupe,False,False,False,False,True,False,True,94,Peugeot,diesel,black
Citroën,64386,135,diesel,grey,coupe,False,False,False,False,True,True,True,154,Citroën,diesel,grey
Citroën,54993,135,diesel,black,coupe,False,False,False,False,False,False,False,136,Citroën,diesel,black
Citroën,152383,135,diesel,black,coupe,True,False,False,False,True,True,True,130,Citroën,diesel,black
Renault,69736,240,petrol,grey,coupe,True,True,True,False,True,True,True,173,Renault,petrol,grey
Citroën,202812,130,diesel,silver,coupe,False,False,False,False,True,False,True,91,Citroën,diesel,silver
Renault,69768,230,diesel,black,coupe,True,True,True,False,True,False,True,192,Renault,diesel,black
Peugeot,220296,130,diesel,black,coupe,False,False,False,False,True,False,True,87,Peugeot,diesel,black
Citroën,125965,135,diesel,blue,coupe,False,True,False,False,True,True,True,153,Citroën,diesel,blue
