checkin_type,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes
mobile,-81.0,no_rented_before,
connect,70.0,no_rented_before,
mobile,-203.0,no_rented_before,
connect,-15.0,rented_before,570.0
mobile,-44.0,no_rented_before,
connect,23.0,no_rented_before,
mobile,214.0,no_rented_before,
mobile,15.0,no_rented_before,
connect,-81.0,no_rented_before,
mobile,-156.0,no_rented_before,
mobile,66.0,no_rented_before,
mobile,215.0,no_rented_before,
mobile,58.0,rented_before,420.0
connect,-159.0,no_rented_before,
mobile,-16.0,no_rented_before,
mobile,1452.0,no_rented_before,
mobile,-29.0,no_rented_before,
mobile,-251.0,no_rented_before,
mobile,35.0,no_rented_before,
mobile,-345.0,no_rented_before,
mobile,-26.0,no_rented_before,
mobile,22.0,no_rented_before,
mobile,-15.0,no_rented_before,
connect,52.0,no_rented_before,
mobile,-2.0,no_rented_before,
connect,-1.0,no_rented_before,
connect,-76.0,rented_before,330.0
mobile,15.0,no_rented_before,
mobile,-68.0,no_rented_before,
mobile,-340.0,no_rented_before,
mobile,130.0,no_rented_before,
mobile,29.0,no_rented_before,
mobile,-4.0,no_rented_before,
mobile,-160.0,no_rented_before,
mobile,-30.0,no_rented_before,
mobile,-47.0,no_rented_before,
connect,-63.0,no_rented_before,
mobile,-148.0,no_rented_before,
mobile,44.0,no_rented_before,
mobile,-98.0,no_rented_before,
mobile,-33.0,no_rented_before,
mobile,-340.0,no_rented_before,
connect,-167.0,no_rented_before,
mobile,31.0,no_rented_before,
connect,-6.0,rented_before,630.0
mobile,79.0,no_rented_before,
mobile,30.0,no_rented_before,
mobile,33.0,no_rented_before,
mobile,-52.0,no_rented_before,
mobile,44.0,no_rented_before,
connect,-576.0,no_rented_before,
mobile,-7.0,rented_before,90.0
connect,-178.0,no_rented_before,
connect,37.0,no_rented_before,
mobile,24.0,no_rented_before,
mobile,40.0,no_rented_before,
mobile,137.0,no_rented_before,
mobile,249.0,no_rented_before,
mobile,23.0,no_rented_before,
connect,-108.0,no_rented_before,
mobile,-6.0,no_rented_before,
mobile,-150.0,no_rented_before,
mobile,9.0,no_rented_before,
mobile,68.0,rented_before,300.0
connect,38.0,no_rented_before,
mobile,-1.0,no_rented_before,
mobile,74.0,rented_before,60.0
mobile,-10.0,no_rented_before,
mobile,-843.0,no_rented_before,
mobile,780.0,no_rented_before,
connect,-130.0,no_rented_before,
mobile,271.0,no_rented_before,
mobile,-12.0,no_rented_before,
mobile,933.0,no_rented_before,
mobile,1967.0,no_rented_before,
mobile,-125.0,no_rented_before,
mobile,-96.0,no_rented_before,
mobile,205.0,no_rented_before,
mobile,18.0,rented_before,0.0
mobile,48.0,no_rented_before,
mobile,266.0,no_rented_before,
mobile,36.0,no_rented_before,
mobile,-35.0,no_rented_before,
mobile,80.0,no_rented_before,
mobile,-24.0,no_rented_before,
mobile,-129.0,no_rented_before,
connect,2.0,no_rented_before,
mobile,-37.0,no_rented_before,
mobile,8.0,no_rented_before,
mobile,-155.0,no_rented_before,
mobile,134.0,no_rented_before,
mobile,-15.0,no_rented_before,
mobile,13.0,no_rented_before,
connect,-348.0,no_rented_before,
mobile,-120.0,no_rented_before,
mobile,85.0,no_rented_before,
mobile,-35.0,no_rented_before,
mobile,66.0,no_rented_before,
mobile,32.0,no_rented_before,
connect,41.0,no_rented_before,
mobile,3.0,no_rented_before,
connect,-536.0,no_rented_before,
mobile,216.0,no_rented_before,
mobile,28.0,no_rented_before,
mobile,-51.0,no_rented_before,
mobile,93.0,no_rented_before,
mobile,-196.0,no_rented_before,
mobile,9.0,no_rented_before,
mobile,-988.0,rented_before,720.0
mobile,-6.0,no_rented_before,
mobile,-18.0,no_rented_before,
mobile,-62.0,no_rented_before,
mobile,210.0,no_rented_before,
mobile,12.0,rented_before,0.0
mobile,-24.0,no_rented_before,
mobile,-5.0,no_rented_before,
connect,90.0,no_rented_before,
mobile,-14.0,no_rented_before,
mobile,11.0,no_rented_before,
mobile,-7.0,no_rented_before,
mobile,146.0,no_rented_before,
mobile,-25.0,no_rented_before,
mobile,13.0,no_rented_before,
mobile,901.0,no_rented_before,
mobile,52.0,no_rented_before,
mobile,125.0,rented_before,0.0
mobile,165.0,no_rented_before,
mobile,-25.0,no_rented_before,
mobile,83.0,no_rented_before,
mobile,69.0,no_rented_before,
mobile,156.0,no_rented_before,
mobile,12.0,no_rented_before,
mobile,50.0,rented_before,180.0
mobile,-7.0,no_rented_before,
mobile,183.0,no_rented_before,
mobile,-170.0,no_rented_before,
mobile,-36.0,no_rented_before,
connect,-106.0,no_rented_before,
mobile,9.0,no_rented_before,
mobile,-21.0,no_rented_before,
mobile,64.0,no_rented_before,
mobile,23.0,no_rented_before,
mobile,14.0,no_rented_before,
mobile,5.0,no_rented_before,
mobile,300.0,no_rented_before,
mobile,-18.0,no_rented_before,
mobile,12.0,no_rented_before,
connect,48.0,no_rented_before,
connect,-9.0,rented_before,240.0
mobile,-57.0,no_rented_before,
connect,-529.0,no_rented_before,
mobile,670.0,no_rented_before,
mobile,-1087.0,no_rented_before,
mobile,-53.0,no_rented_before,
connect,64.0,rented_before,540.0
mobile,2.0,no_rented_before,
mobile,24.0,no_rented_before,
mobile,55.0,no_rented_before,
mobile,75.0,rented_before,60.0
mobile,-44.0,no_rented_before,
connect,-244.0,no_rented_before,
connect,337.0,no_rented_before,
connect,39.0,no_rented_before,
mobile,56.0,no_rented_before,
mobile,31.0,no_rented_before,
mobile,-23.0,no_rented_before,
mobile,233.0,no_rented_before,
connect,50.0,no_rented_before,
mobile,108.0,no_rented_before,
mobile,56.0,no_rented_before,
mobile,-2.0,no_rented_before,
connect,74.0,no_rented_before,
mobile,-31.0,no_rented_before,
mobile,7.0,no_rented_before,
mobile,302.0,no_rented_before,
connect,-98.0,no_rented_before,
mobile,93.0,no_rented_before,
mobile,20.0,no_rented_before,
connect,-467.0,no_rented_before,
mobile,20.0,no_rented_before,
mobile,69.0,no_rented_before,
mobile,-9.0,no_rented_before,
mobile,-80.0,no_rented_before,
mobile,-44.0,no_rented_before,
mobile,163.0,no_rented_before,
mobile,-2.0,no_rented_before,
mobile,10.0,no_rented_before,
mobile,-52.0,no_rented_before,
mobile,16.0,rented_before,660.0
mobile,92.0,no_rented_before,
mobile,7.0,no_rented_before,
connect,-55.0,no_rented_before,
mobile,30.0,no_rented_before,
mobile,261.0,no_rented_before,
connect,84.0,no_rented_before,
connect,85.0,no_rented_before,
mobile,10.0,no_rented_before,
mobile,-113.0,no_rented_before,
connect,423.0,no_rented_before,
mobile,500.0,no_rented_before,
connect,-5.0,no_rented_before,
mobile,1.0,no_rented_before,
connect,-548.0,no_rented_before,
mobile,266.0,rented_before,30.0
mobile,145.0,no_rented_before,
connect,8.0,no_rented_before,
mobile,-8.0,no_rented_before,
mobile,74.0,no_rented_before,
mobile,126.0,no_rented_before,
mobile,15.0,no_rented_before,
mobile,-8.0,no_rented_before,
connect,-692.0,no_rented_before,
mobile,195.0,no_rented_before,
mobile,-133.0,no_rented_before,
mobile,-22.0,no_rented_before,
mobile,201.0,no_rented_before,
mobile,21.0,no_rented_before,
mobile,-307.0,no_rented_before,
mobile,-40.0,no_rented_before,
mobile,225.0,rented_before,60.0
mobile,-37.0,no_rented_before,
mobile,-12.0,no_rented_before,
mobile,-11.0,no_rented_before,
connect,-26.0,no_rented_before,
connect,-49.0,no_rented_before,
mobile,381.0,no_rented_before,
connect,22.0,no_rented_before,
mobile,144.0,no_rented_before,
mobile,69.0,no_rented_before,
mobile,19.0,no_rented_before,
mobile,10.0,no_rented_before,
mobile,-5.0,no_rented_before,
connect,-127.0,no_rented_before,
mobile,-158.0,no_rented_before,
connect,54.0,no_rented_before,
mobile,3.0,no_rented_before,
